List of MISMATCHES between SequenceA and SequenceB: (1)Inside chains and (2)Between chains


(1). Mismatches inside chains

 L1EndA	L2StartA		L1EndB	L2StartB		Mismatch
     56	     64		     56	     64		    8
    408	    410		    391	    393		    2
    574	    575		    557	    558		    1
    603	    605		    586	    588		    2
    636	    637		    619	    620		    1
    684	    706		    667	    689		   22
    789	    790		    772	    773		    1
    843	    857		    826	    840		   14
    882	    886		    865	    869		    4
    954	    956		    937	    939		    2
    981	    985		    964	    968		    4
   1047	   1048		   1030	   1031		    1
   1092	   1093		   1075	   1076		    1
   1221	   1222		   1204	   1205		    1
   1245	   1246		   1228	   1229		    1
   1293	   1334		   1276	   1317		   41
   1362	   1366		   1345	   1349		    4
   1422	   1441		   1405	   1424		   19
   1524	   1525		   1507	   1508		    1
   1608	   1610		   1591	   1593		    2
   1638	   1639		   1621	   1622		    1
   1822	   1823		   1805	   1806		    1
   1863	   1865		   1846	   1848		    2
   1890	   1900		   1873	   1883		   10
   2016	   2017		   1999	   2000		    1
   2123	   2141		   2106	   2124		   18
   2226	   2228		   2209	   2211		    2
   2262	   2263		   2245	   2246		    1
   2322	   2324		   2305	   2307		    2
   2358	   2360		   2341	   2343		    2
   2388	   2404		   2371	   2387		   16
   2484	   2485		   2467	   2468		    1
   2523	   2524		   2506	   2507		    1
   2691	   2693		   2674	   2676		    2
   2724	   2726		   2707	   2709		    2
   2757	   2776		   2740	   2759		   19
   2893	   2895		   2876	   2878		    2
   2933	   2934		   2916	   2917		    1
   3040	   3047		   3023	   3030		    7
   3070	   3071		   3053	   3054		    1
   3112	   3134		   3095	   3117		   22
   3178	   3180		   3161	   3163		    2
   3211	   3215		   3194	   3198		    4
   3259	   3260		   3242	   3243		    1
   3377	   3379		   3360	   3362		    2
   3433	   3434		   3416	   3417		    1
   3508	   3510		   3491	   3493		    2
   3535	   3536		   3518	   3519		    1
   3616	   3643		   3599	   3626		   27
   3766	   3779		   3749	   3762		   13
   3952	   3953		   3935	   3936		    1
   4117	   4118		   4100	   4101		    1
   4216	   4217		   4199	   4200		    1
   4351	   4404		   4334	   4387		   53
   4435	   4457		   4418	   4440		   22
   4600	   4601		   4583	   4584		    1
   4735	   4736		   4718	   4719		    1
   4819	   4838		   4802	   4821		   19
   4960	   4979		   4943	   4962		   19
   5036	   5038		   5019	   5021		    2
